Till code	Description	Printed	Format code	Description format	No. of labels	Validity date
5000328375373	WALKERS CHEESE & ONION 6PK| 25GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
5000159523752	MALTESERS LARGE BOX| 310GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
5000159533546	MALTESERS BOX| 110GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
7622201693688	TOBLERONE TRUFFLES CARTON |180 GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
7622202237713	TOBLERONE TRUFFLES ASSORTED BOX| 180GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
7622202286803	TOBLERONE GOLDEN CARAMEL BAR | 340GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
7622202287336	TOBLERONE WHITE CHOCOLATE BAR | 340GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
7622202287510	TOBLERONE MILK CHOCOLATE BAR | 340GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
7622202332708	TOBLERONE GOLDEN CARAMEL TRUFFLES  | 180GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
7622210959850	CADBURY ROSES CARTON|290GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
7622210959874	CADBURY HEROES CARTON|290GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
8003340809304	LINDT LINDOR MILK CHOC TRUFFLES | 137GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
8003340809311	LINDT LINDOR ASSORTED CHOC TRUFFLES | 137GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
8593893776081	BLACK MAGIC MEDIUM BOX | 348GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
8000500009673	FERRERO ROCHER| 300GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
8000500037874	FERRERO ROCHER [T16| 200GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
8445291082007	DAIRY BOX CHOCOLATES CARTON | 322GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
4008400183022	FERRERO RAFFAELLO T23| 230GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
8000500247150	FERRERO ROCHER COLLECTION T15| 172GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
3582274201019	CHAMPAGNE PIERRE DARCYS BRUT NV| 75CL	TRUE	106	ELECTRONIC LABEL	1	19/02/26
5099873089798	JACK DANIEL'S TENNESSEE WHISKEY | 70CL	TRUE	106	ELECTRONIC LABEL	1	19/02/26
5011007003548	JAMESON CRESTED |70CL	TRUE	106	ELECTRONIC LABEL	1	19/02/26
5099839316340	2 LEMONS AND 1 LIME| 3PCE	TRUE	106	ELECTRONIC LABEL	1	19/02/26
5099839284694	CENTRA GRANNY SMITH APPLE TRAY| 4PCE	TRUE	106	ELECTRONIC LABEL	1	19/02/26
