Till code,Description,Retail Price,SKU,Units,Validity date
5000112665932,FANTA ZERO ORANGE BOTTLE| 500MLS,2.45,500,Millilitre,26/03/26
5000112665680,SCHWEPPES PINK G/FRUIT & ORANGE CAN | 330MLS,2.2,330,Millilitre,26/03/26
5000112688771,POWERADE CHERRY SPORTS DRINK BOTTLE | 500MLS,2.3,500,Millilitre,26/03/26
5000112666960,OASIS ZERO SUMMER FRUITS BOTTLE | 500MLS,2.9,500,Millilitre,26/03/26
5000112666984,OASIS ZERO CITRUS PUNCH BOTTLE | 500MLS,2.9,500,Millilitre,26/03/26
5011020104833,RIVER ROCK VITAL GUAVA LIME & G TEA | 450MLS,2.65,450,Millilitre,26/03/26
5011020104840,RR VITAL MANGO PFRUIT | 450ML,2.7,450,Millilitre,26/03/26
5011020104864,RIVER ROCK VITAL PEAR REDCURRANT | 450MLS,2.7,450,Millilitre,26/03/26
5011020104871,DEEP RIVER ROCK APPLE & PEAR STILL | 750MLS,2.9,750,Millilitre,26/03/26
5011020104901,RIVER ROCK TROPICAL FRUIT SPORTS | 750ML,2.9,750,Millilitre,26/03/26
5011020105038,RIVER ROCK VITAL PINEAPPLE YUZU COF | 450MLS,2.65,450,Millilitre,26/03/26
5011020105045,DEEP RIVER ROCK APRICOT STILL WATER | 750MLS,2.9,750,Millilitre,26/03/26
5011020104727,DEEP RIVER ROCK STILL WATER| 500MLS,1.8,500,Millilitre,26/03/26
5000328026282,DORITOS EXTRA FLAMIN HOT | 163GRM,2.5,163,Grams,26/03/26
5000328030333,DORITOS CHILLI HEATWAVE| 140GRM,2.5,140,Grams,26/03/26
5000328030340,DORITOS COOL ORIGINAL| 140GRM,2.5,140,Grams,26/03/26
5000328030357,DORITOS TANGY CHEESE | 140GRM,2.5,140,Grams,26/03/26
5000112641165,FANTA ORANGE CAN 12 PACK | 330MLS,14,330,Millilitre,26/03/26
5000112665901,FANTA ZERO ORANGE CAN 12 PACK| 330MLS,13.5,330,Millilitre,26/03/26
5000112666649,SPRITE ZERO SUGAR CAN 12 PCK | 330ML,14.35,330,Millilitre,26/03/26
