EAN	SU description	Retail Price	SKU	Units
0203050000000	BLU D'AFFONIOS	34	1	Kilos
0210840000000	PORK RACK	14.49	1	Kilos
0273800000000	LOIN OF LAMB	24.49	1	Kilos
0274060000000	BEEF ROUND	12.05	1	Kilos
0276940000000	BEEF FILLET	50.99	1	Kilos
0284970000000	FILLET STEAK	50.99	1	Kilos
0290560000000	SIDE OF SALMON	15.99	700	Grams
0294180000000	COD FILLETS	25.99	1	Kilos
0294190000000	HADDOCK FILLETS	16.49	1	Kilos
0612322000769	GF FLATBREADS	3.75	150	Grams
0612322000776	NAIRNS R/MARY	3.75	150	Grams
0652508444567	FLOWRINGS	5	1	Unit
087229206086	DINGLE GIN	32	70	Centilitre
194735338894	BARBIE CHELSEA	11.99	1	Unit
2058468	CT LAMB LOIN	22.5	1	Kilos
2201250094186	COD FILLETS	25.99	1	Kilos
2201250094193	HADDOCK FILLETS	16.49	1	Kilos
2202250005608	SIDE OF SALMON	15.99	700	Grams
2207210003052	BLU D'AFFONIOS	34	1	Kilos
3099873045864	JACK DANIELS	38.5	70	Centilitre
3245990043300	HENNESSY VS	34	70	Centilitre
3245990043317	HENNESSY	34	70	Centilitre
3245990250203	HENNESSY VS	34	70	Centilitre
3245990727910	HENNESSY	34	70	Centilitre
3245991694914	HENNESSY VS	34	70	Centilitre
3245993405716	HENNESSY VS	34	70	Centilitre
3245995960015	HENNESSY	34	70	Centilitre
3245998738413	HENNESSY	34	70	Centilitre
3245999127513	HENNESSY VS	34	70	Centilitre
3245999276617	HENNESSY	34	70	Centilitre
3245999574010	HENNESSY	34	70	Centilitre
3280220506972	FLORETTE SALAD	1.99	100	Grams
3367770011597	RASTEAU CELLI	12	75	Centilitre
3424	PRIMROSE PLANT	3.69	1	Unit
3582274201019	CHAMPAGNE PIERRE	28	75	Centilitre
3700007900347	CT CHERRY TOM	1	250	Grams
4008400183022	RAFAELLO T23	7.5	230	Grams
4027800007912	WSWORD RAZOR	10.39	6	Unit
4027800081158	WLKNSN EYEBROW	5.8	3	Unit
4027800802166	WS HYD3 VALU P	21.65	1	Unit
45926	IRISH DAFFODIL	87.6	1	Unit
5000112627244	COCA COLA  CAN	5.25	330	Millilitre
5000112631388	COCA ZERO CAN	4.75	330	Millilitre
5000112635683	COCA 0 CAN	4.75	330	Millilitre
5000112637847	FANTA ORANGE	1.5	1.75	Litre
5000112638578	FANTA ORNG 4PK	4	330	Millilitre
5000112662672	FANTA LEMON	1.5	1.75	Litre
5000112665963	FANTA ZERO	1.5	1.75	Litre
5000112666595	SPRITE ZERO 4P	4	330	Millilitre
5000112666700	SPRITE ZERO BTL	1.5	2	Litre
5000112676914	FANTA 0 APPLE	1.5	1.75	Litre
5000112680522	DR PEPPER BTL	1.5	2	Litre
5000112681734	DIETCOKE CAN 4	4.75	330	Millilitre
5000158066540	LEMSIP MAX COU	7	5	Unit
5000159505697	MALTESERS BOX	3.5	110	Grams
5000159514194	MALTESERS TRF	8	200	Grams
5000159523752	MALTESERS	8.75	310	Grams
5000159533546	MALTESERS BOX	3.5	110	Grams
5000213028377	GUINNESS 15PK	27	500	Millilitre
5000213028384	GUINNESS 12PK	24	500	Millilitre
5000213028889	ROCKSHORE 12PK	22	500	Millilitre
5000281020761	TANQUERY NO 10	42	70	Centilitre
5000289929417	GORDONS PINK GIN	25	70	Centilitre
5000291027576	TANQUERY NO 10	42	70	Centilitre
5000328014746	WALKERS MUNCH 6PK	2.55	22	Grams
5000328034966	WALKER PRAWN6P	1.5	25	Grams
5000328035369	WALKER CRISP 6	1.5	25	Grams
5000328375373	WLK C&O	1.5	25	Grams
5000328375618	WLK S&V	1.5	25	Grams
5000328376677	WLK SALTED	1.5	25	Grams
5010038491690	COORS CAN 15PK	32.5	500	Millilitre
5010075000015	BACOFOIL FOIL	4.16	5	Linear metre
5010993967278	SUPER SOAKER	14.99	1	Unit
5010996164230	HUNGRY HIPPO	11.99	1	Unit
5010996239549	GUESS WHO GAME	11.99	1	Unit
5010996239884	BATTLESHIP 7+	11.99	1	Unit
5010996239907	CLUEDO GRAB&GO	11.99	1	Unit
5010996239921	CONNECT 4	11.99	1	Unit
5010996275714	MONOPOLY	11.99	1	Unit
5011007003005	JAMESON	29	70	Centilitre
5011007003548	CRESTED	42	70	Centilitre
5011007013974	WCC ROSE 4PK	13.5	250	Millilitre
5011007017576	JAMESON	29	70	Centilitre
5011007022235	JAMESON	29	70	Centilitre
5011007025106	JAMESON	29	70	Centilitre
5011007025960	JAMESON IPA	40	70	Centilitre
5011020104963	TANORA BOTTLE	1.5	1.75	Litre
5011022002755	HOMECOOK LEMON JUICE	2.5	500	Millilitre
5011050067375	SAUSAGES	1.69	240	Grams
5011069162269	DENNY PORK ROL	1.45	90	Grams
5011273040605	CLEAR HONEY	3	340	Grams
5011273040636	ROWSE HONEY EF	3	340	Grams
5011273040698	ROWSE SQUEEZY	3	340	Grams
5011408152654	WASHBAG GIFT	30	1	Unit
5013665116233	WE PEANUT BTR	3.5	320	Grams
5013665116257	WE PEANUT BTR	3.5	320	Grams
5014379028218	BUDWEISER 15PK	26.5	440	Millilitre
5020244145362	HALF LEG LAMB	9.99	1.2	Kilos
5023139591114	BIN BAGS 30L	3.95	12	Unit
5023139863426	ICE CUBE BAGS	2.45	15	Unit
5038961001106	YAMMAS HALLOUM	4.4	250	Grams
50500505	SWIZZLE LOLLY	0.7	32	Grams
5053990127641	PRINGLES C&O	2.5	165	Grams
5053990127726	PRINGLES ORIG	2.5	165	Grams
5053990127733	PRINGLES S&V	2.5	165	Grams
5053990158034	PRINGLES PRAWN	2.5	165	Grams
5053990161669	PRINGLES PAPRI	2.5	165	Grams
5053990161966	PRINGLES BBQ	2.5	165	Grams
5053990167197	PRINGLES BACON	2.5	165	Grams
5053990179039	PRINGLES CRISP	2.5	165	Grams
5053990182947	PRINGLES STEAK	2.5	165	Grams
5053990190034	PRINGLES CRISP	2.5	165	Grams
5056475435675	PICNIC BLANKET	20	1	Unit
5056475435682	PICNIC BLANKET	20	1	Unit
5057784745042	FOOTBALL TOY	7.5	1	Unit
5057784756628	PLUSH TOY	7.5	1	Unit
5057784788018	DAD SOCK SET	6	1	Unit
5057784788025	DAD MUG	6	1	Unit
5057784788087	MULTI-TOOL KIT	4.5	1	Unit
5057784788100	DAD PEN BOXED	3	1	Unit
5057784788131	TANKARD GLASS	7.5	1	Unit
5057784788193	GDAD HANKY TIN	4.5	1	Unit
5057784788223	GRANDAD MUG	6	1	Unit
5057784788230	GLASS&SOCK SET	7.5	1	Unit
5057784788247	SOCK SET	6	1	Unit
5060391621401	CARAMEL SPREAD	3.19	400	Grams
5060391621418	CARAMEL SPREAD	3.19	400	Grams
5060391621449	CHOC SPREAD	3.19	400	Grams
5060391621456	CHOC SPREAD	3.19	400	Grams
5060638590842	HARRYS BLADE 8P	21.3	8	Unit
5098732005207	WONDERBAR	2.25	300	Grams
5098732012458	SPRAY CREAM	2.75	250	Grams
5099120003034	KEARNS SAUSAGE	2.35	227	Grams
5099368968270	PLUM PUNNET	2	500	Grams
5099445105772	NOLANS B PRAWN	5	180	Grams
5099459760127	CRISPY DUCK	9.69	600	Grams
5099459760240	DUCK BREAST	7.5	400	Grams
5099459914612	DUCK BREAST	7.5	400	Grams
5099510000001	KEARNS SAUSAGE	2.35	227	Grams
5099510000018	KEARNS SAUSAGE	2.35	227	Grams
5099589220386	GOLD BLEND TEA	4.7	250	Grams
5099809000286	GEM PAC SUGAR	2.7	500	Grams
5099809148001	CHOC CHIPS	2.99	100	Grams
5099809148018	CHOCOLATE CHIP	2.99	100	Grams
5099809148025	CHOC CHIP	2.99	100	Grams
5099821001407	HW TROP SPF15	11	180	Millilitre
5099821001414	HWN TRP SPF30	11	180	Millilitre
5099821001421	HWN TRP SPF50	11	180	Millilitre
5099821002039	HAWAIIAN TROPIC SILK	9	180	Millilitre
5099821002060	HAWN LIP SPF30	3.3	1	Unit
5099821002282	HWN TRP SPF30	12	180	Millilitre
5099821002718	HAWAIIAN AFTERSUN	11	250	Millilitre
5099821109219	HAWAIIAN SPRAY SPF30	10.15	200	Millilitre
5099839090219	CT CHERRY TOM	1	250	Grams
5099839250729	CT VALU CHOPS	5	750	Grams
5099839277849	COD FILLETS	25.99	1	Kilos
5099839277856	HADDOCK FILLETS	16.49	1	Kilos
5099839278334	COD FILLETS	25.99	1	Kilos
5099839278341	HADDOCK FILLET	16.49	1	Kilos
5099839284694	CT GRANNY SMIT	1	4	Unit
5099839291913	BREADED GOUJO	4.29	270	Grams
5099839293207	BACON UNSMKD	5.5	825	Grams
5099839302954	CT TOMATOES	2.99	250	Grams
5099839316340	2 LEMONS & 1 LIME	1	3	Unit
5099839316784	CT MUSHROOM	1.35	200	Grams
5099839317002	PLUM PUNNET	2	500	Grams
5099839325977	CT TURKEY BRST	10.99	1.1	Kilos
5099839337208	CT BASTED PORK	4	425	Grams
5099839357572	BREADED CHICKEN	4	250	Grams
5099839575112	PEPPER PACK	1.99	2	Unit
5099839580666	HALF LEG LAMB	9.99	1.2	Kilos
5099839581212	CT LEMON	1.29	3	Unit
5099839582387	CT PORK STEAK	5	600	Grams
5099839589768	BE MINE MIXED	15	1	Unit
5099839603549	ROSE BOUQUET	20	1	Unit
5099839604898	CT TURKEY MINCE	4	275	Grams
5099839605321	PIRI PIRI PORK	5	600	Grams
5099839605338	HONEY&MUS PORK	5	600	Grams
5099839605352	CT MRNTED PORK STEAK	5	600	Grams
5099839606793	SV DOZEN RED ROSES	7	1	Unit
5099839607776	FLOWER MIX	10.99	1	Unit
5099839620294	TURK BUR	4	380	Grams
5099839620539	CENTRA SALMON DARNES	4.99	200	Grams
5099839624384	AVOCADO	2.69	2	Unit
5099839643811	PORK STEAK	5	600	Grams
5099839649806	CT PORK STEAK	5	600	Grams
5099839654558	CT SMKD RASHER	3.29	210	Grams
5099839654572	PORK SAUSAGES	3.15	380	Grams
5099839654589	CT TRAD SAUS	3.15	380	Grams
5099839657498	STRIPLOIN STK	17	454	Grams
5099839658327	CT CORN FED EG	2.75	6	Unit
5099839664151	SALMON	5.99	150	Grams
5099839667596	SALMON	5.99	150	Grams
5099839669620	CT SALAD	2	150	Grams
5099839670725	CARROT BAG	1	850	Grams
5099839674587	INSPIRED BY	3.29	210	Grams
5099839717970	CARROT BAG	1	850	Grams
5099839720734	HALF LEG LAMB	9.99	1.2	Kilos
5099839724299	CENTRA NET ORANGE	1	5	Unit
5099839727375	CT APPLE JUICE	3.19	1	Litre
5099839736148	CENTRA ONIONS	1	600	Grams
5099839740794	SIRLOIN STEAK	9.75	400	Grams
5099839744921	IBC BAT HADOCK	6.99	320	Grams
5099839744938	IBCEN FISH BOX	8.99	370	Grams
5099839744945	IBC HAKE BITES	7.99	380	Grams
5099839744952	IBC HADOC KIEV	7.99	360	Grams
5099839746925	IBC BLUEBERRIE	5	200	Grams
5099839750328	CENTRA APPLES	1.8	4	Unit
5099872019642	BAILEYS EGG	15	230	Grams
5099873001370	JACK DANIELS	38.5	70	Centilitre
5099873017623	JD APPLE GP	38.5	70	Centilitre
5099873089798	JACK DANIELS	38.5	70	Centilitre
5099873090473	JACK DANIELS	38.5	70	Centilitre
5099873095799	JACK DANIELS	38.5	70	Centilitre
5099873123454	JACK DANIELS	38.5	70	Centilitre
5390054010748	CT MUSHROOM	1.35	200	Grams
5390193800316	SUN PINE NUTS	4.5	75	Grams
5390248005444	BABY POTATOES	0.99	400	Grams
5390248005468	BABY POTATOES	0.99	400	Grams
5390248005536	KEOGHS ROOSTER	1.99	1	Kilos
5390248100026	KEOGHS ROOSTER	1.99	1	Kilos
5390634000077	MR CRUMB STFG	3.69	225	Grams
5390656013666	PRIMROSE PLANT	3.69	1	Unit
5391097000161	SMOKED SALMON	4.49	90	Grams
5391305000167	SHEL CRAB PATE	3.49	100	Grams
5391505652722	US BACON JOINT	4	600	Grams
5391505652746	BACON JOINT	4	600	Grams
5391511392339	FICUS BEN	9.99	1	Unit
5391514751799	RED ROSES	7	1	Unit
5391514757517	RED ROSES	7	1	Unit
5391517781793	WASH BAG	3.2	1	Unit
5391517781823	ICE CUBE BAGS	2.6	1	Unit
5391518270319	ALOE VERA GEL	9.5	400	Millilitre
5391518565002	DINGLE GIN	32	70	Centilitre
5391539711327	SAGE SAUCE	2.69	150	Grams
5391544813085	ORNITHO PLANT	9.99	1	Unit
5391544814068	HANGING BASKET	11.49	1	Unit
5391544817144	PRIMROSE PLANT	7.5	1	Unit
5391544817618	LILY PLANT	10.49	1	Unit
5391544817700	BURST BOUQUET	7.99	1	Unit
5391544817762	ST PAT BOUQUET	15	1	Unit
5391549631882	TFG HYACINTH	10.99	1	Unit
5391549632308	ROSES BOUQUET	9	1	Unit
5392000150805	OCEAN GIN	39.5	70	Centilitre
5392000150829	BEARA PINK	39.5	70	Centilitre
5397136001052	KELKIN	3.5	350	Grams
5397136003490	PEANUT BUTTER	3	210	Grams
5397136003513	PEANUT BUTTER	3	210	Grams
5397136005104	CHOC SPREAD	2.5	200	Grams
5397136021654	MAPLE SYRUP	3.19	330	Grams
